ID,Substance,,,,,,,,
216,SP-rbcL#2,,,,,,,,
217,SP-rbcL#3,,,,,,,,
218,SP-rbcL#4,,,,,,,,
219,neg-1,,,,,,,,
220,neg-2,,,,,,,,
221,Spotting Puffer,,,,,,,,
222,"Biotin-Marke_2,5uM",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
